Bin,Response_Average
0,0.08
1,0.17333333333333334
2,0.6266666666666667
3,0.8266666666666667
4,1.0533333333333332
5,1.1333333333333333
6,1.2933333333333332
7,1.3333333333333333
8,1.4533333333333334
9,1.84
10,1.92
11,2.0
12,2.2
13,2.0933333333333333
14,2.2933333333333334
15,2.48
16,2.3466666666666667
17,2.32
18,2.52
19,2.466666666666667
20,2.32
21,2.3733333333333335
22,2.453333333333333
23,2.546666666666667
24,2.3466666666666667
25,2.3466666666666667
26,2.24
27,2.24
28,2.3066666666666666
29,2.4
30,2.493333333333333
31,2.2666666666666666
32,2.2266666666666666
33,2.16
34,2.36
35,2.04
36,2.12
37,1.9333333333333333
38,1.8
39,1.68
40,1.68
41,1.52
42,1.4666666666666666
43,1.28
44,1.2533333333333334
45,1.2666666666666666
46,1.0533333333333332
47,0.9733333333333334
48,0.9733333333333334
49,0.8933333333333333
50,0.7733333333333333
51,0.88
52,0.7466666666666667
53,0.7333333333333333
54,0.7333333333333333
55,0.7733333333333333
56,0.5733333333333334
57,0.72
58,0.68
59,0.56
60,0.4
61,0.4533333333333333
62,0.5066666666666667
63,0.5066666666666667
64,0.5333333333333333
65,0.6133333333333333
66,0.68
67,0.7866666666666666
68,0.6933333333333334
69,0.68
70,0.8
71,0.8133333333333334
72,0.9333333333333333
73,0.8266666666666667
74,0.8133333333333334
75,1.0266666666666666
76,0.8666666666666667
77,1.12
78,1.04
79,0.88
80,1.1466666666666667
81,1.1333333333333333
82,1.16
83,1.0933333333333333
84,1.16
85,1.08
86,1.1333333333333333
87,1.3066666666666666
88,1.2666666666666666
89,1.3866666666666667
90,0.13333333333333333
