"time","event"
4,12
26,12
28,120
32,120
37,12
44,12
52,12
54,120
61,120
64,12
74,12
76,12
104,120
112,120
113,12
114,12
133,12
135,120
146,110
506,11
512,12
531,12
561,110
564,110
567,11
575,11
578,12
592,120
596,120
598,12
607,11
607,21
611,120
637,120
638,12
657,31
670,12
671,120
673,120
676,12
678,12
736,12
757,500
773,120
799,12
803,12
805,12
808,120
813,120
815,12
837,12
839,12
843,120
853,120
855,12
860,12
876,12
878,120
884,120
886,12
887,12
915,12
917,120
987,120
995,12
996,12
997,12
999,120
1001,120
1002,12
1004,12
1006,12
1008,120
1078,120
1117,12
1148,12
1152,12
1174,120
1205,100
1209,1
1213,12
1228,1
1262,100
1272,100
1276,1
1282,12
1313,1
1322,100
1324,100
1327,1
1331,12
1357,1
1362,100
1362,200
1367,12
1394,12
1412,3
1512,510
1646,120
1649,12
1651,12
1668,12
1706,120
1842,120
1926,11
1944,12
1946,12
1950,120
1951,120
1971,11
1975,11
2025,11
2046,110
2062,110
2064,11
2074,12
2090,12
2096,110
2102,110
2105,11
2115,12
2130,12
2141,110
2141,210
2145,12
2169,12
2171,12
2172,120
2190,120
2191,31
2246,12
2265,12
2266,120
2291,500
2327,12
2331,12
2333,12
2344,120
2348,120
2349,12
2350,12
2351,12
2366,120
2368,120
2372,12
2385,12
2387,12
2435,120
2464,120
2478,12
2490,1
2615,1
2621,100
2624,100
2632,1
2637,12
2654,1
2659,100
2662,100
2671,1
2678,1
2684,1
2686,100
2689,100
2699,1
2705,1
2713,12
2763,100
2772,100
2776,1
2784,12
2791,1
2793,100
2804,100
2811,1
2813,1
2820,1
2830,100
2838,120
2866,1
2875,1
2884,1
2887,100
2900,100
2900,2
2906,12
2950,3
2955,120
2966,120
2968,12
2969,12
2974,12
2989,120
3033,120
3050,51
3089,12
3113,12
3188,120
3190,120
3192,12
3196,12
3198,12
3209,120
3246,120
3247,12
3268,12
3269,12
3271,120
3274,120
3276,12
3278,12
3280,12
3288,120
3335,110
3346,11
3361,12
3374,11
3380,110
3404,110
3416,12
3417,12
3418,12
3419,120
3419,120
3452,11
3458,11
3540,11
3544,110
3545,110
3552,11
3557,12
3580,11
3584,110
3598,110
3614,12
3619,12
3642,11
3647,110
3650,110
3672,11
3672,21
3676,12
3722,310
3738,120
3740,12
3743,12
3760,12
3764,120
3782,120
3812,12
3822,54
3824,12
3864,120
3876,120
3879,12
3880,12
3887,12
3888,120
3892,120
3893,12
3893,12
3895,12
3901,120
3918,120
3919,12
3933,12
3946,12
3954,120
3956,120
3965,12
3978,12
3993,110
3993,14
4005,140
4005,11
4010,12
4012,12
4013,120
4015,120
4028,12
4029,12
4038,12
4039,120
4044,120
4088,12
4117,12
4125,110
4125,14
4135,140
4135,11
4175,14
4175,11
4177,140
4177,110
4181,14
4181,11
4187,110
4187,14
4196,120
4211,14
4211,11
4218,110
4218,14
4264,140
4264,11
4271,14
4271,11
4273,140
4273,110
4334,14
4334,11
4341,110
4341,14
4349,140
4349,11
4352,14
4352,11
4359,140
4359,110
4361,14
4361,11
4378,110
4378,14
4386,140
4386,11
4397,12
4402,12
4406,120
4416,140
4416,11
4423,14
4423,11
4436,120
4459,140
4459,11
4462,14
4462,11
4486,140
4486,110
4492,14
4492,11
4495,110
4495,14
4500,140
4500,11
4511,12
4514,12
4516,120
4535,120
4537,12
4545,14
4545,11
4547,140
4547,110
4551,12
4585,14
4585,11
4595,140
4595,110
4633,14
4633,11
4636,110
4636,14
4643,120
4685,14
4685,11
4694,110
4694,14
4702,120
4726,14
4726,11
4728,110
4728,14
4784,140
4784,11
4803,14
4803,11
4806,140
4806,110
4825,14
4825,11
4839,110
4839,14
4848,140
4848,11
4888,14
4888,11
4890,140
4890,110
4897,12
4919,14
4919,11
4924,140
4924,110
4927,14
4927,11
4948,110
4948,14
4957,140
4957,11
4961,12
5005,110
5005,14
5030,140
5030,11
5037,14
5037,11
5048,140
5048,110
5059,12
5094,14
5094,11
5098,140
5098,110
5102,14
5102,11
5106,12
5147,120
5156,140
5156,11
5163,14
5163,11
5202,120
5266,140
5266,11
5277,12
5279,12
5285,120
5300,120
5315,12
5327,12
5347,12
5354,140
5354,110
5359,14
5359,11
5365,12
5394,140
5394,110
5396,14
5396,11
5403,110
5403,14
5405,140
5405,11
5410,12
5426,12
5428,120
5429,120
5429,12
5430,12
5441,12
5452,120
5453,120
5455,12
5477,14
5477,11
5484,140
5484,110
5491,14
5491,11
5494,110
5494,14
5495,120
5528,14
5528,11
5530,110
5530,14
5566,120
5574,14
5574,11
5589,12
5611,120
5612,120
5622,34
5629,12
5639,12
5648,120
5650,120
5687,12
5692,12
5722,5
5726,120
5730,120
5730,12
5817,12
5826,12
5828,120
5830,120
5835,12
5837,12
5843,12
5915,120
5950,120
5962,12
5966,12
5971,12
5980,120
5984,120
5986,12
5988,12
5989,12
5990,120
6026,100
6071,1
6082,1
6141,1
6150,100
6155,120
6171,1
6175,1
6178,1
6181,100
6185,100
6190,1
6203,1
6213,12
6222,100
6226,100
6228,1
6234,1
6241,1
6242,100
6245,100
6248,1
6251,1
6261,1
6267,100
6294,100
6304,1
6306,1
6312,12
6325,100
6325,200
6330,12
6356,12
6357,12
6375,300
6386,120
6394,12
6405,12
6440,12
6468,120
6475,510
6480,12
6481,12
6523,12
6528,120
6554,120
6560,12
6562,12
6590,12
6591,120
6633,120
6635,12
6685,12
6703,12
6704,120
6711,120
6712,12
6715,12
6716,12
6722,120
6738,120
6739,12
6739,12
6747,12
6751,120
6765,120
6789,12
6794,12
6804,12
6807,120
6810,120
6817,12
6818,12
6838,11
6865,120
6879,120
6880,12
6907,12
6913,12
6915,120
6922,120
6928,12
6930,12
6939,12
6945,120
6952,120
6974,12
6980,12
6989,12
6991,120
6992,120
7012,12
7014,12
7016,12
7018,120
7026,120
7037,12
7039,12
7057,12
7059,120
7061,120
7063,12
7136,12
7138,12
7140,120
7153,120
7236,11
7236,21
7239,12
7266,120
7280,120
7286,12
7286,31
7287,12
7289,120
7293,120
7299,12
7349,12
7366,12
7386,500
7387,120
7424,12
7427,12
7428,12
7436,120
7466,120
7468,12
7476,12
7479,12
7482,120
7485,120
7559,12
7570,12
7570,12
7571,120
7574,120
7576,12
7577,12
7584,12
7596,120
7639,120
7706,12
7722,12
7756,12
7788,100
7798,100
7820,1
7824,1
7833,12
7843,120
7848,120
7942,1
7954,1
7960,1
7966,100
7967,100
7973,12
7975,12
7986,1
7990,100
7990,200
7996,12
8021,12
8026,12
8028,120
8034,120
8036,12
8040,3
8060,12
8092,120
8112,120
8140,5
8211,12
8212,12
8215,120
8227,120
8236,12
8243,12
8244,12
8247,120
8261,120
8262,12
8491,1
8500,12
8514,100
8522,100
8525,1
8535,12
8565,12
8567,120
8569,120
8571,12
8579,1
8587,1
8640,100
8652,100
8657,1
8659,1
8668,1
8675,100
8682,120
8696,1
8701,1
8706,1
8717,100
8733,100
8735,1
8744,1
8744,2
8750,120
8794,300
8796,12
8797,12
8799,12
8848,120
8877,120
8894,51
8913,12
8921,12
8923,120
8928,120
8930,12
8943,12
8944,12
8952,120
8953,120
8956,12
8964,12
8968,12
9044,120
9076,120
9080,12
9082,12
9084,12
9154,120
9159,120
9160,12
9167,12
9172,120
9172,12
9173,120
9201,12
9204,12
9205,12
9269,110
9289,120
9295,12
9397,11
9450,12
9451,120
9466,110
9471,11
9479,11
9493,12
9526,110
9526,210
9529,12
9558,12
9576,31
9584,120
9586,120
9588,12
9612,12
9643,12
9646,120
9655,120
9676,5
9677,12
9805,12
9819,120
9821,120
9838,12
9844,12
9846,12
9941,120
10022,100
10035,1
10036,1
10042,12
10051,120
10054,120
10063,1
10068,1
10075,1
10113,100
10120,100
10126,1
10135,1
10141,1
10147,120
10162,100
10170,1
10174,1
10181,1
10185,100
10187,100
10196,1
10214,1
10218,1
10223,100
10229,100
10231,1
10234,1
10238,12
10252,100
10255,100
10270,1
10278,1
10278,2
10286,120
10325,120
10328,3
10330,12
10418,12
10428,510
10509,120
10511,12
10581,12
10597,12
10599,120
10603,120
10619,12
10620,12
10800,11
10822,120
10824,120
10824,12
10827,12
10827,12
10831,120
10832,120
10834,12
10836,12
10911,12
10913,120
10916,120
10918,12
10924,12
10926,12
10927,120
10974,120
10976,12
11022,12
11024,12
11025,120
11027,120
11072,12
11074,12
11074,12
11076,120
11083,120
11092,12
11146,11
11146,21
11149,120
11175,120
11191,12
11193,12
11196,31
11203,120
11260,120
11296,5
11361,12
11363,12
11374,120
11392,120
11399,12
11414,12
11441,12
11443,120
11445,120
11519,12
11570,12
11585,12
11588,120
11591,120
11623,12
11645,1
11657,1
11683,120
11694,100
11710,12
11717,12
11725,12
11744,120
11748,120
11750,12
11752,12
11754,12
11764,100
11774,100
11784,1
11794,12
11797,12
11798,120
11809,120
11820,1
11834,12
11859,12
11878,100
11894,100
11898,1
11898,2
11905,12
11948,300
12048,530
12059,12
12060,12
12129,12
12130,120
12132,120
12133,12
12146,12
12148,12
12215,120
12225,120
12234,13
12234,1
12253,12
12254,120
12264,120
12271,12
12272,12
12276,12
12286,120
12288,120
12290,12
12292,12
12296,12
12301,120
12302,120
12317,12
12319,12
12339,12
12343,120
12371,120
12373,12
12375,12
12381,12
12463,120
12545,120
12642,13
12642,1
12652,100
12652,13
12705,130
12705,1
12730,13
12730,1
12743,130
12743,100
12748,12
12769,13
12769,1
12786,130
12786,100
12789,13
12789,1
12799,100
12799,13
12811,130
12811,1
12816,13
12816,1
12824,130
12824,100
12827,13
12827,1
12839,12
12864,130
12864,100
12880,12
12900,13
12900,1
12911,130
12911,100
12916,13
12916,1
12918,100
12918,13
12921,130
12921,1
12927,12
12938,12
12955,130
12955,100
12959,13
12959,1
12963,100
12963,13
12966,130
12966,1
12971,13
12971,1
12992,130
12992,100
12997,13
12997,1
12999,100
12999,13
13030,130
13030,1
13034,13
13034,1
13048,130
13048,100
13052,13
13052,1
13053,100
13053,13
13055,130
13055,1
13065,12
13076,12
13090,130
13090,100
13096,13
13096,1
13110,100
13110,13
13128,130
13128,1
13132,13
13132,1
13142,130
13142,100
13146,13
13146,1
13213,100
13213,13
13227,130
13227,1
13234,12
13251,12
13263,130
13263,100
13267,13
13267,1
13279,12
13324,130
13324,100
13340,13
13340,1
13346,100
13346,13
13352,130
13352,1
13405,13
13405,1
13414,130
13414,100
13416,13
13416,1
13421,100
13421,13
13424,130
13424,1
13428,12
13450,100
13450,13
13455,130
13455,1
13461,13
13461,1
13464,130
13464,100
13465,13
13465,1
13471,12
13516,130
13516,100
13524,12
13538,13
13538,1
13546,130
13546,100
13601,13
13601,1
13607,100
13607,13
13618,130
13618,1
13621,13
13621,1
13627,120
13631,120
13646,12
13647,12
13653,12
13672,120
13673,120
13674,12
13699,12
13705,12
13734,130
13734,100
13744,13
13744,1
13750,100
13750,13
13754,130
13754,1
13758,13
13758,1
13761,130
13761,100
13783,13
13783,1
13798,12
13809,120
13848,330
13857,12
13859,12
13864,12
13871,120
13878,120
13885,12
13888,12
13891,12
13907,120
13913,120
13914,12
13916,12
13917,12
13919,120
13928,120
13930,12
13940,12
13941,12
13948,510
13960,120
13962,12
13963,12
14022,12
14081,120
14081,120
14087,12
14105,12
14107,12
14110,120
14120,120
14139,12
14140,12
14140,12
14153,120
14161,120
14163,12
14184,12
14189,12
14233,120
14242,120
14244,12
14246,12
14326,12
14341,110
14345,110
14355,12
14358,12
14360,12
14374,110
14495,110
14502,11
14507,12
14521,11
14526,110
14574,110
14574,21
14578,12
14605,12
14624,310
14667,120
14688,12
14696,12
14697,12
14704,120
14710,120
14724,51
14727,12
14743,12
14749,120
14757,120
14759,12
14789,12
14793,12
14794,120
14795,120
14796,12
14800,12
14822,12
14838,120
14840,120
14862,12
14864,12
14866,12
15181,110
15220,110
15227,12
15235,11
15242,12
15254,120
15266,110
15270,11
15279,12
15280,12
15283,120
15285,120
15363,11
15363,21
15368,12
15413,310
15424,120
15425,12
15427,12
15429,12
15471,120
15495,120
15513,5
15581,12
15582,12
15585,120
15587,120
15602,12
15620,12
15630,1
15769,100
16123,100
16123,2
16128,12
16167,12
16168,120
16173,300
16238,12
16240,12
16243,12
16249,120
16256,120
16259,12
16273,51
16301,12
16533,110
16540,110
16603,11
16641,11
16697,11
16704,110
16707,110
16717,11
16723,12
16729,11
16751,110
16762,120
16766,12
16776,11
16780,11
16785,110
16832,110
16899,11
16899,21
16902,12
16939,120
16940,120
16949,31
16956,12
17027,12
17049,500
17060,120
17066,1
17208,1
17256,1
17269,100
17452,100
17463,1
17468,1
17475,12
17516,100
17526,100
17533,12
17551,1
17564,1
17574,120
