"time","event"
9,12
32,12
36,12
39,120
42,120
48,12
67,12
68,12
70,120
83,110
86,12
88,12
151,12
155,110
160,120
163,12
181,12
227,11
272,110
277,120
286,12
286,12
287,12
307,110
314,110
317,12
324,12
372,11
377,120
385,120
391,12
472,11
479,11
482,110
486,110
490,11
496,11
498,11
514,110
519,110
536,12
545,12
564,210
564,11
567,120
607,12
614,31
714,51
1067,110
1156,110
1159,12
1165,12
1218,11
1224,110
1227,110
1229,11
1234,11
1239,11
1241,120
1243,120
1292,11
1292,21
1295,12
1342,310
1442,500
1612,12
1613,12
1616,12
1630,120
1632,120
1809,12
1811,12
1813,12
1816,120
1818,120
1821,12
1823,12
1827,12
1828,120
1891,120
1892,12
1894,12
1895,12
1897,120
1945,100
1950,12
1959,12
1966,12
1981,100
1985,120
1996,12
2038,1
2043,1
2045,100
2048,100
2049,1
2053,1
2061,1
2064,100
2066,100
2069,12
2079,12
2084,12
2086,120
2098,200
2102,12
2148,3
2248,5
2529,120
2535,120
2539,12
2541,12
2612,12
2619,100
2624,100
2630,1
2633,1
2636,1
2641,120
2645,120
2646,12
2648,12
2667,12
2680,100
2693,100
2700,1
2706,1
2708,1
2721,100
2728,100
2733,1
2735,1
2738,1
2740,100
2755,100
2758,1
2762,1
2765,1
2768,120
2816,100
2822,1
2825,1
2829,1
2836,100
2841,100
2847,1
2854,1
2858,1
2867,100
2874,100
2876,2
2880,12
2926,3
3026,510
3158,120
3359,12
3360,12
3462,11
3517,110
3547,110
3550,11
3555,11
3557,11
3599,110
3603,110
3606,11
3613,12
3614,12
3620,120
3637,110
3640,11
3642,11
3647,11
3653,120
3686,110
3689,12
3695,12
3720,210
3720,11
3723,120
3770,31
3775,12
3870,51
4335,110
4342,120
4344,12
4389,11
4392,11
4395,110
4399,110
4402,11
4431,11
4437,11
4443,110
4448,110
4491,11
4496,11
4498,11
4503,110
4506,110
4512,12
4513,12
4525,12
4529,120
4535,110
4537,11
4537,21
4541,12
4587,310
4687,500
4860,12
5105,12
5113,12
5115,120
5219,100
5224,1
5228,12
5231,12
5233,120
5264,120
5268,12
5278,1
5284,1
5298,100
5309,100
5311,1
5313,1
5319,12
5333,120
5337,120
5338,2
5340,12
5388,3
5479,120
5488,510
5727,12
5728,12
5735,12
5739,120
5740,120
5744,12
5940,11
5942,11
5985,110
5988,110
5991,11
5997,11
6038,11
6040,110
6044,110
6050,11
6060,11
6064,11
6069,110
6071,110
6074,11
6082,11
6085,11
6088,110
6132,110
6145,12
6147,12
6147,12
6149,120
6150,120
6151,12
6171,11
6171,21
6174,120
6221,310
6228,12
6321,5
6699,12
6700,120
6702,120
6709,12
6713,12
6717,12
6862,100
6868,100
6874,1
